Document Title,Year,Abstract,IEEE Terms,Author Keywords,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Volume,Issue,Start Page,End Page,ISSN,ISBNs,DOI,Funding Information,PDF Link,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,,,,,,
Transitioning to the next generation (nextgen) defense training environment (DTE),2011,"Department of Defense (DoD) closed architectures and proprietary solutions limit the ability to provide the warfighter gaming, semantic reasoning and social networking capabilities employed by industry and readily available in the open source community. Exorbitant sustainment costs of legacy solutions are unjustifiable and significantly inhibit transition to enhanced solutions. Additionally, legacy solutions leave a dependence on an aging workforce of static-centric modeling & simulation (M&S) subject matter expertise (SME) to promote reuse, while budget cuts increase attrition among junior-level technical staff. This paper describes challenges and recommendations for changing the DoD M&S training paradigm to facilitate interoperability, incorporate emerging semantic web technologies, and provide a knowledge base to promote reuse. Two ongoing R&D projects will be used to illustrate innovative strategies and their potential to alleviate many legacy system interoperability issues while transitioning to a Defense Training Environment (DTE) where US and Coalition Command and Control (C2) and M&S systems seamlessly interoperate to train as we fight.",Cancer;Communities;Ontologies;Semantic Web;Semantics;Training;US Department of Defense,,W. Bizub; J. Brandt,"Joint Advanced Concepts, Joint and Coalition Warfighting, 116 Lake View Parkway, Suffolk, VA 23435, USA",Proceedings of the 2011 Winter Simulation Conference (WSC),20120209,,,2559,2570,0891-7736;08917736,Electronic:978-1-4577-2109-0; POD:978-1-4577-2108-3; USB:978-1-4577-2107-6,10.1109/WSC.2011.6147964,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6147964,cloud computing;command and control systems;computer based training;inference mechanisms;knowledge based systems;ontologies (artificial intelligence);open systems;public domain software;semantic Web,Department of Defense;command and control system;interoperability;knowledge base;legacy solution sustainment cost;modeling and simulation system;next generation defense training environment;open source community;research and development;semantic Web technology;semantic reasoning;social networking capability;subject matter expertise;warfighter gaming,,0,,15,,,,11-14 Dec. 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Exchanging Data Agreements in the DaaS Model,2011,"Rich types of data offered by data as a service(DaaS) in the cloud are typically associated with different and complex data concerns that DaaS service providers, data providers and data consumers must carefully examine and agree with before passing and utilizing data. Unlike service agreements, data agreements, reflecting conditions established on the basis of data concerns, between relevant stakeholders have got little attention. However, as data concerns are complex and contextual, given the trend of mixing data sources by automated techniques, such as data mash up, data agreements must be associated with data discovery, retrieval and utilization. Unfortunately, exchanging data agreements so far has not been automated and incorporated into service and data discovery and composition. In this paper, we analyze possible steps and propose interactions among data consumers, DaaS service providers and data providers in exchanging data agreements. Based on that, we present a novel service for composing, managing, analyzing data agreements for DaaS in cloud environments and data marketplaces.",Couplings;Data models;Data privacy;Data structures;Joining processes;Law enforcement;Licenses,,H. L. Truong; S. Dustdar; J. Gotze; T. Fleuren; P. Muller; S. E. Tbahriti; M. Mrissa; C. Ghedira,"Distrib. Syst. Group, Vienna Univ. of Technol., Vienna, Austria",2011 IEEE Asia-Pacific Services Computing Conference,20120112,,,153,160,,Electronic:978-0-7695-4624-7; POD:978-1-4673-0206-7,10.1109/APSCC.2011.59,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6127956,cloud computing;electronic data interchange;information retrieval,DaaS service provider;cloud environment;data agreement exchange;data as a service;data composition;data concern;data consumer;data discovery;data marketplace;data retrieval;data source mixing;data utilization,,6,,10,,,,12-15 Dec. 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Real-time mapping technology for the multi-dimensional spatial information service,2011,"Geospatial information and service technology has evolved from 3-dimensional geospatial information to multidimensional geospatial information, and further advanced into a service that associates real-time multi-dimensional geospatial information and non-visual information. The geospatial information service supplied only visual location and attribute accuracy. However, multi-dimensional geospatial information service technology has overcome the existing concept of geospatial information based on measurement as the demand for service becomes higher and technology develops. It is facing a new need to develop an advanced service that provides information through convergence between various sensors. This study conducts analysis on related policy and technological trend for multi-dimensional geospatial information service including various sensors and non-visual information to help provide basic research reference to build a real-time map.",Convergence;Distributed databases;Geospatial analysis;Information services;Real time systems;Sensors;Usability,multi-dimensional spatial information;real-time mapping technology;spatial information service,J. R. Kim; Y. D. Eo; M. W. Pyeon; J. S. Park,"Department of Advanced, Technology Fusion, Konkuk University, Seoul, Korea",The 7th International Conference on Networked Computing and Advanced Information Management,20110728,,,280,283,,Electronic:978-89-88678-37-4; POD:978-1-4577-0185-6,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5967560,geographic information systems;information services,3D geospatial information;attribute accuracy;multidimensional spatial information service;nonvisual information;real-time mapping technology;visual location,,1,,4,,,,21-23 June 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Applying Design Patterns in URI Strategies -- Naming in Linked Geospatial Data Infrastructure,2014,"The centrality of Uniform Resource Identifiers (URI) as names in Linked Data initiatives has led to the development of guidelines and best practices by World Wide Web Consortium (W3C) and other experts groups on how to design ""good"" URIs in general and for the government domain in particular. However, these URI design guidelines have had limited pragmatic value for several reasons including the under specified nature of the rules, weak elaboration on nature of problems addressed and consequences of prescribed design decisions. With no conceptual or rigorous underpinning for existing design rules, checking for internal consistency or coverage when developing URI strategies is difficult. We tackle these problems in this paper by: 1) consolidating existing URI design rules, 2) distilling core URI design aspects or facets from these rules and 3) abstracting the rules into a set of consistent URI Design Patterns specifications. This process resulted in 8 Design Patterns from an initial set of 37 URI design rules. Following this, we show how the design patterns could be employed in developing a URI strategy to support the realization of a Linked Spatial Data Infrastructure. We conclude with an evaluation of the URI design patterns and implications of our work.",Abstracts;Best practices;Geospatial analysis;Government;Guidelines;Joining processes;Object recognition,,S. Abbas; A. Ojo,"Digital Enterprise Res. Inst., Nat. Univ. of Ireland, Galway, Ireland",2014 47th Hawaii International Conference on System Sciences,20140310,,,2094,2103,1530-1605;15301605,Electronic:978-1-4799-2504-9; POD:978-1-4799-2505-6,10.1109/HICSS.2014.265,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6758863,Web sites;formal specification;object-oriented methods;visual databases,URI design guideline;URI design rules;URI strategy;W3C;World Wide Web Consortium;design patterns specification;linked data initiatives;linked geospatial data infrastructure;uniform resource identifiers,,0,,25,,,,6-9 Jan. 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
The new knowledge processing:integrating semantic web with web 2.0,2010,"There are two challenges faced by orgnizational knowledge managemet: low efficiency of machine in processing knowledge and high cost of man when sharing own key knowledge within his organization. The semantic web technology improves the efficiency by machine readable knowledge representation and web2.0 theory cuts the cost through nurturing a mass-collabrative, self-organized and meta-synthesitive knowledge ecosystem. A new knowledge processing framework which integrates semantic web with web 2.0 is proposed and its core hypothese, main characteristics and basic framework are discused based on making a deep analysis of relationships between semantic web and web2.0.",Biological system modeling;Computational modeling;Ecosystems;OWL,Artifical Intelligence;Knowledge Management;Knowledge Processing;Semantic Web;Web 2.0,Chao Lemen,"Research Institute of Information Technology, Tsinghua University, Beijing 100084, China",2010 International Conference on Computer Application and System Modeling (ICCASM 2010),20101104,2,,V2-314,V2-317,2161-9069;21619069,Electronic:978-1-4244-7237-6; POD:978-1-4244-7235-2,10.1109/ICCASM.2010.5620527,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5620527,knowledge management;organisational aspects;semantic Web,Web 2.0;knowledge processing;machine readable knowledge representation;mass-collabrative knowledge ecosystem;meta-synthesitive knowledge ecosystem;orgnizational knowledge managemet;self-organized knowledge ecosystem;semantic Web,,1,,11,,,,22-24 Oct. 2010,,IEEE,IEEE Conference Publications,,,,,,,,,,,
A Dialogue-Based Approach Enhanced with Situation Awareness and Reinforcement Learning for Ubiquitous Access to Linked Data,2014,"The main barrier to a mainstream adoption of Semantic Web and Linked Data is the difficulty for users to search and retrieve the required information in this huge network of data. This work proposes a novel approach for Ubiquitous Browsing and Searching Linked Data. The proposed approach lays on a conceptual communication model, namely Interactive Alignment, for disambiguating both users' intentions and requests in the context of an information-seeking dialogue among humans and machines. More in details, the alignment between humans' intentions and machine comprehension is improved by identifying situations the users are involved in and considering users' situated preferences. Situation Awareness techniques are employed to identify and handle perceptions about occurring situations and Reinforcement Learning algorithms are exploited in order to elicit and acquire part of the user's mental model regarding her situated preferences. An ISU-based Dialogue System Architecture has been chosen to handle human-computer interaction and allow interactive alignment. Furthermore, the paper proposes a case study in which users are customers in U-commerce scenarios and they are looking for products or services to purchase.",Cognitive science;Context;Human computer interaction;Learning (artificial intelligence);Navigation;Ontologies;Semantics,Context and Situation Identification;Dialogue Systems;Human-Computer Interaction;Reinforcement Learning;Semantic Web,G. D'Aniello; M. Gaeta; V. Loia; F. Orciuoli; S. Tomasiello,"DIEM, Univ. of Salerno, Fisciano, Italy",2014 International Conference on Intelligent Networking and Collaborative Systems,20150312,,,249,256,,Electronic:978-1-4799-6387-4; POD:978-1-4799-6388-1,10.1109/INCoS.2014.73,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7057098,human computer interaction;learning (artificial intelligence);semantic Web;ubiquitous computing,ISU-based dialogue system architecture;conceptual communication model;dialogue-based approach;human-computer interaction;information-seeking dialogue;interactive alignment;linked data;reinforcement learning;semantic Web;situation awareness;ubiquitous access;ubiquitous browsing,,2,,15,,,,10-12 Sept. 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Analysis and recommendations for e-business development in Croatia,2015,"In this paper, the development of e-business in Croatia in the last decade has been researched, with special emphasis on legislation, organization and state influence, along with the influence of other relevant and potential stakeholders. The influence of Croatian inclusion into the European Union has been analyzed, both before and after the inclusion in 2013. The main directions of e-business development in Croatia are presented. Main segments of e-business have been analyzed (b2b - business-to-business, b2g - business-to-government and c2g - citizen-to-government). EU DESI, UN e-Government Survey, e-Participation Index (EPI), World Economic Forum (WEF) data, UN Open Government Data (OGD) and other relevant indices have been studied and interpreted. In the closing part of the paper, guidelines for development of e-business in Croatia are presented along with author conclusions, specifying e-business as a key element for the evolution of digital economy and digital society.",Economics;Electronic government;Indexes;Internet;Open systems,,R. Smokvina; S. Aksentijevic; E. Tijan,"InfoExpert, Ltd., Lorenzov prolaz 13, Rijeka, Croatia","2015 38th International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)",20150716,,,1557,1562,,DVD:978-9-5323-3085-4; Electronic:978-9-5323-3082-3; POD:978-1-4799-8174-8,10.1109/MIPRO.2015.7160519,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7160519,business data processing;electronic commerce,Croatian inclusion;EPI;EU DESI;European Union;OGD;UN Open Government Data;UN e-government survey;WEF data;World Economic Forum data;b2b;b2g;business-to-business;business-to-government;c2g;citizen-to-government;digital economy;digital society;e-business development;e-participation index;legislation;organization;state influence,,0,,11,,,,25-29 May 2015,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Linking from observations to data to actionable science in the climate data initiative,2015,"A tremendous amount of Earth and Climate related data and information are available from the U.S. Federal government. Among the proposed actions of the President's Climate Action Plan are several efforts to foster the use of existing data to encourage development of additional data products and tools that can be used to improve community resilience and prepare for the impacts of climate change. Building on previous efforts to organize the presentation of this material from Federal web pages and data centers, the Climate Data Initiative is working together with other related efforts to link Earth observation systems through to data resulting from them and on to related web pages, case studies, decision making tools, and other relevant content. Often such information is not located in a single web site, data center, or even a single agency, but distributed across the Federal Government. Linking such information across the breadth of interagency holdings can increase understanding of the complexity of those holdings and their inter-relationships and allow a more cohesive presentation of all of the material.",Data models;Decision making;Earth;Government;Joining processes;Meteorology;Resilience,Information Management;Knowledge Representation;Semantic Web,C. Tilmes; A. P. Privette; J. Chen; R. Ramachandran; K. M. Bugbee; R. E. Wolfe,"NASA Goddard Space Flight Center, Greenbelt, MD 20771",2015 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),20151112,,,1354,1357,2153-6996;21536996,Electronic:978-1-4799-7929-5; POD:978-1-4799-7930-1; USB:978-1-4799-7928-8,10.1109/IGARSS.2015.7326027,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7326027,climatology,Earth observation system;Federal web pages;climate change;climate data initiative;data centers;decision making tools;president climate action plan,,1,,7,,,,26-31 July 2015,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Sharing best practices for the implementation of Big Data applications in government and science communities,2014,"The Federal Big Data Working Group supports the Federal Big Data Initiative but is not endorsed by the Federal Government or its agencies. This working group uses meetups with onsite and virtual participation to share best practices for the implementation of Big Data applications in government and science communities. Decision-makers and the scientific community interact with data science in order to take advantage of the Big Data transformation of how information is used in science, decision support, data discovery and data publishing. The working group federates use cases, data publications, solutions and technologies. The range of topics is illustrated in a keynote and panel discussion at a recent Big Data conference and in a summary of recent working group meetups.",Best practices;Big data;Communities;Conferences;Data privacy;Government;Semantics,Big Data;data publications;decision-makers;high-performance computation;privacy;scientific community;semantic analysis;use cases,J. L. Aron; B. Niemann,"Independent Consultant, Columbia, Maryland, U.S.A.",2014 IEEE International Conference on Big Data (Big Data),20150108,,,8,10,,Electronic:978-1-4799-5666-1; POD:978-1-4799-5667-8,10.1109/BigData.2014.7004469,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7004469,Big Data;government data processing,Big Data applications;Big Data transformation;Federal Big Data Initiative;Federal Big Data Working Group;Federal Government;data discovery;data publishing;data science;decision makers;decision support;government agency;science community,,1,,,,,,27-30 Oct. 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Towards Interactive Gathering of DUV-Based Dataset Usage Information,2016,"Although many open data portals have been publishing numerous datasets on the Web, there is currently no clear standard way to describe dataset usage on the Web, which is not conducive to the healthy development of the open data ecosystem. The W3C Data on the Web Best Practices Working Group is therefore standardizing the Dataset Usage Vocabulary (DUV) for modeling, conveying and sharing dataset usage information on the Web, aiming at facilitating better communication between data publishers and consumers and promoting the re-use of Web-published data. Despite the significant progress in the standardization, there is a lack of systematic research on approaches and tools for gathering DUV-based dataset usage information. This paper therefore proposes a generic software Framework for Interactively Gathering DUV-based Dataset Usage Information (FIGDUI) on the Web. FIGDUI can provide both data publishers and consumers (collectively referred to as the user) with a friendly user interface designed according to DUV's Citation Model, Usage Model and Feedback Model, and employ automatic algorithms to convert the user-entered data into dataset usage data in a machine-readable RDF format and to publish the RDF data as Linked Open Data on the Web. Our prototype implementation of FIGDUI and preliminary experimental results show that FIGDUI is feasible and implementable.",Data models;Ontologies;Portals;Prototypes;Resource description framework;Software;User interfaces,Dataset Usage Vocabulary (DUV);Linked Open Data (LOD);dataset usage information;information gathering;user interface design,X. Xia; Z. Xu; Z. Liu,"Coll. of Comput. & Inf., Hohai Univ., Nanjing, China",2016 13th Web Information Systems and Applications Conference (WISA),20170316,,,163,168,,Electronic:978-1-5090-5437-4; POD:978-1-5090-5438-1,10.1109/WISA.2016.41,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7878251,Linked Data;interactive systems;portals;user interfaces;vocabulary,DUV citation model;DUV feedback model;DUV usage model;DUV-based dataset usage information;FIGDUI;Linked Open Data;W3C Data;Web-published data reuse;dataset usage vocabulary;friendly user interface;interactive gathering;machine-readable RDF format;open data ecosystem;open data portals,,,,,,,,23-25 Sept. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Fundamental analysis powered by Semantic Web,2011,"Conducting fundamental analysis within subsets of comparable firms has been demonstrated to provide more reliable inferences and increase the prediction quality in equity research. However, incorporating and representing both firm-specific information and common economic determinants has been widely recognized as the key challenge. This paper investigates how to leverage Semantic Web technologies to assist fundamental analysis by generating flexible and meaningful selections of comparable firms at low costs. We approach the problem by proposing Linked Open Financial Data as the data organization model and ontology modeling for knowledge representation. Results are verified in terms of efficiency with examples of quick mashups, and feasibility by adapting to existing valuation models.",Analytical models;Business;Data models;Joining processes;Resource description framework;Semantics,Semantic Web;financial data;financial statement analysis;fundamental analysis;investment;linked data,X. Li; J. Bao; J. A. Hendler,"Tetherless World Constellation, Rensselaer Polytechnic Institute Troy, NY 12180, USA",2011 IEEE Symposium on Computational Intelligence for Financial Engineering and Economics (CIFEr),20110714,,,1,8,2380-8454;23808454,Electronic:978-1-4244-9934-2; POD:978-1-4244-9933-5,10.1109/CIFER.2011.5953565,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5953565,financial data processing;inference mechanisms;knowledge representation;ontologies (artificial intelligence);semantic Web,common economic determinant;data organization model;fundamental analysis;knowledge representation;linked open financial data;ontology modeling;prediction quality;reliable inference;semantic Web,,0,,27,,,,11-15 April 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Cloud Computing for Mobile Users: Can Offloading Computation Save Energy?,2010,"The cloud heralds a new era of computing where application services are provided through the Internet. Cloud computing can enhance the computing capability of mobile systems, but is it the ultimate solution for extending such systems' battery lifetimes?",Batteries;Cloud computing;Computer applications;Mobile computing;Web and internet services,Cloud computing;Energy savings;Mobile/wireless,K. Kumar; Y. H. Lu,Purdue University,Computer,20100408,43,4,51,56,0018-9162;00189162,,10.1109/MC.2010.98,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445167,Internet;energy conservation;mobile computing,Internet;application services;battery lifetimes;cloud computing;computation offloading;mobile systems;mobile users,,484,4,13,,,,Apr-10,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
Identifying Information Assets for Open Data: The Role of Business Architecture and Information Quality,2012,"The past few years have seen a growing interest in Open Data, a movement that encourages the sharing of public sector information for better governance, greater services and more vibrant economy. While data in government agencies are in abundance, their value and quality vary significantly. Without a structured approach, low-value and poor-quality information assets may be chosen, limiting the positive impact of Open Data. In recognizing the research gap, we propose a five-phase process of data selection, drawing insights from the domains of business architecture and information quality. The process is described and illustrated with an example of local government at the city level. It can be applied to other government agencies as they embark on Open Data initiatives.",Cities and towns;Economics;Local government;Transportation,business architecture;data quality;information quality;open data;smarter cities,G. J. Ren; S. Glissmann,"Almaden Res. Center, IBM Res., San Jose, CA, USA",2012 IEEE 14th International Conference on Commerce and Enterprise Computing,20130307,,,94,100,2378-1963;23781963,Electronic:978-0-7695-4857-9; POD:978-1-4673-6246-7,10.1109/CEC.2012.23,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6470782,data analysis;government data processing;local government;public administration,Open Data initiative;better governance;business architecture;city level;data selection;government agency data;information asset identification;information quality;local government;public sector information sharing;vibrant economy,,1,,17,,,,9-11 Sept. 2012,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Designing the Cloud-Based DOE Systems Biology Knowledgebase,2011,"Systems Biology research, even more than many other scientific domains, is becoming increasingly data-intensive. Not only have advances in experimental and computational technologies lead to an exponential increase in scientific data volumes and their complexity, but increasingly such databases are providing the basis for new scientific discoveries. To engage effectively with these community resources, integrated analyses, synthesis and simulation software is needed, supported by scientific workflows. In order to provide a more collaborative, community driven research environment for this heterogeneous setting, the Department of Energy (DOE) has decided to develop a federated, cloud based cyber infrastructure the Systems Biology Knowledgebase (Kbase). In this context the Pacific Northwest National Laboratory (PNNL) has been defining and testing the basic federated cloud-based system architecture and developed a prototype implementation. Community wide accessibility of biological data and the capability to integrate and analyze this data within its changing research context were seen as key technical functionalities the Kbase needs to enable. In this paper we describe the results of our investigations into the design of this cloud based federated infrastructure for: 1) Semantics driven data discovery, access and integration 2) Data annotation, publication and sharing 3) Workflow enabled data analysis 4) Project based collaborative working We describe our approach, exemplary use cases and our prototype implementation that demonstrates the feasibility of this approach.",Bioinformatics;Collaboration;Communities;Computer architecture;Genomics;Semantics,,C. Lansing; Y. Liu; J. Yin; A. Corrigan; Z. Guillen; K. K. van Dam; I. Gorton,"Fundamental & Comput. Sci. Div., Pacific Northwest Nat. Lab., Richland, WA, USA",2011 IEEE International Symposium on Parallel and Distributed Processing Workshops and Phd Forum,20110901,,,1062,1071,1530-2075;15302075,Electronic:978-1-61284-424-4; POD:978-1-61284-425-1,10.1109/IPDPS.2011.261,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6008894,biology computing;cloud computing;data analysis;groupware;knowledge based systems,Cloud based DOE systems biology knowledgebase;Cloud based cyber infrastructure;Cloud based federated infrastructure;Department of Energy;Kbase;PNNL;Pacific Northwest National Laboratory;Systems Biology Knowledgebase;community driven research environment;community resources integrated analyses;computational technologies;data annotation;project based collaborative working;semantics driven data discovery;simulation software;workflow enabled data analysis,,1,1,5,,,,16-20 May 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
BFS and Coloring-Based Parallel Algorithms for Strongly Connected Components and Related Problems,2014,"Finding the strongly connected components (SCCs) of a directed graph is a fundamental graph-theoretic problem. Tarjan's algorithm is an efficient serial algorithm to find SCCs, but relies on the hard-to-parallelize depth-first search (DFS). We observe that implementations of several parallel SCC detection algorithms show poor parallel performance on modern multicore platforms and large-scale networks. This paper introduces the Multistep method, a new approach that avoids work inefficiencies seen in prior SCC approaches. It does not rely on DFS, but instead uses a combination of breadth-first search (BFS) and a parallel graph coloring routine. We show that the Multistep method scales well on several real-world graphs, with performance fairly independent of topological properties such as the size of the largest SCC and the total number of SCCs. On a 16-core Intel Xeon platform, our algorithm achieves a 20X speedup over the serial approach on a 2 billion edge graph, fully decomposing it in under two seconds. For our collection of test networks, we observe that the Multistep method is 1.92X faster (mean speedup) than the state-of-the-art Hong et al. SCC method. In addition, we modify the Multistep method to find connected and weakly connected components, as well as introduce a novel algorithm for determining articulation vertices of biconnected components. These approaches all utilize the same underlying BFS and coloring routines.",Arrays;Color;Image color analysis;Multicore processing;Parallel algorithms;Partitioning algorithms,BFS;coloring;multicore algorithms;performance analysis;strongly connected components,G. M. Slota; S. Rajamanickam; K. Madduri,"Comput. Sci. & Eng, Pennsylvania State Univ., University Park, PA, USA",2014 IEEE 28th International Parallel and Distributed Processing Symposium,20140814,,,550,559,1530-2075;15302075,Electronic:978-1-4799-3800-1; POD:978-1-4799-3801-8,10.1109/IPDPS.2014.64,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6877288,directed graphs;graph colouring;multiprocessing systems;network theory (graphs);search problems,16-core Intel Xeon platform;BFS;DFS;SCC;Tarjan algorithm;biconnected components;breadth-first search;coloring routines;coloring-based parallel algorithms;directed graph;fundamental graph-theoretic problem;hard-to-parallelize depth-first search;large-scale networks;modern multicore platforms;multistep method;parallel graph coloring routine;strongly connected components;topological properties,,13,,35,,,,19-23 May 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Using semantic similarity model to improve OGC web services matching accuracy,2015,"In order to seek out available service from massive geographic information services with high accuracy and satisfy the needs of service users, this paper takes advantage of the characteristics of metadata documents of OGC geographic information services, extracting many description vocabularies from metadata description files according to different tags' weight. Then, a semantic similarity measurement model is proposed to figure out the semantic similarity between the search keyword and OGC Web Service described by semantic distance similarity, semantic structure similarity and attribute information similarity. Using the above model, several experiments are implemented. The results show that: 1. the computing mode of the integrated semantic similarity proposed in this paper is in line with the public cognition and the expert evaluation. 2. comparing with the keyword-based search method, the semantic similarity model could increase recall ratio over 40%, up to 90%; and increase precision over 6%, up to 90%.",Computational modeling;Information services;Minerals;Ontologies;Rivers;Semantics;Vocabulary,OGC web service;geographic ontology;semantic search;semantic similarity,L. Miao; Y. Zhou; W. Cheng; J. Guo,"Coll. of Geogr. & Biol. Inf., Nanjing Univ. of Posts & Telecommun., Nanjing, China",2015 Fourth International Conference on Agro-Geoinformatics (Agro-geoinformatics),20150910,,,217,220,,Electronic:978-1-4673-8087-4; POD:978-1-4673-8088-1,10.1109/Agro-Geoinformatics.2015.7248120,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7248120,Web services;feature extraction;geographic information systems;ontologies (artificial intelligence);pattern matching;semantic networks,OGC Web service matching;description vocabulary extraction;geographic information service;geographical ontology;metadata description file;semantic similarity model,,0,,,,,,20-24 July 2015,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Unlocking the Value of Open Data with a Process-Based Information Platform,2013,"There has been a wide shift in the way data are managed in the public administration. The move has led to an increased adoption of the Open Data model, where public administrations freely and openly publish data gathered using citizen taxes. However, undesirable side effects include the lack of data quality, incompatible formats and access methods, and various semantic interpretations of data. As a consequence, Open Data stakeholders, such as application developers, common citizens and even government agencies themselves, are overwhelmed by the large quantity of unstructured data, unable offer citizens and business value-added applications and services. To address the issue and make Open Data actionable, this paper proposes a systematic value-creation process that helps stakeholders identify the most suitable information assets and convert them into forms that can be more consumable by users. The process is enabled by the Middleware for Open-Data Aggregation (MODA), a platform designed with four main features, i) data quality assessment, ii) data homogenization for uniform access through an universal interface, iii) data correlation and semantic adaptation, and iv) secure data access. These features maximize the return on investment in Open Data by reducing time and cost of third party application development while providing improvement feedback to data sources.",Biological system modeling;Cities and towns;Data acquisition;Data processing;Government;Middleware;Semantics,data homogenization;data quality;open data;semantic adaptation;third party developers;value creation,X. Masip-Bruin; G. J. Ren; R. Serral-Gracià; M. Yannuzzi,"Adv. Network Archit. Lab. (CRAAX), Tech. Univ. of Catalonia, Barcelona, Spain",2013 IEEE 15th Conference on Business Informatics,20131024,,,331,337,2378-1963;23781963,Electronic:978-0-7695-5072-5; POD:978-1-4799-0858-5,10.1109/CBI.2013.54,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6642896,business data processing;investment;middleware;public administration;security of data;semantic networks;taxation,MODA;access methods;application developers;business value-added applications;business value-added services;citizen taxes;data correlation;data homogenization;data quality assessment;data sources;government agency;improvement feedback;incompatible formats;information assets;middleware for open-data aggregation;open data model;open data stakeholders;process-based information platform;public administration;return on investment;secure data access;semantic adaptation;semantic data interpretation;systematic value-creation process;universal interface,,5,,19,,,,15-18 July 2013,,IEEE,IEEE Conference Publications,,,,,,,,,,,
"New Ends, New Means, but Old Attitudes: Citizens' Views on Open Government and Government 2.0",2011,"This paper sees open government and government 2.0 as a new ends and a new means of e-government. Analyzing the Pew Research Center's national survey (2009 Government Online), it focuses on what influences citizens' attitude about open government and government 2.0. Four main findings are presented. First, using the existing e-government services does not have a significant influence on attitude for open government, but recent experience of government 2.0 contributes to positive attitude for government 2.0. Second, those who appreciate transactions with e-government significantly have positive attitude for open government and government 2.0. Third, general trust in government forms attitude for the new mode of e-government. Last, frequent Web use and broadband adoption do not affect citizen attitude for the new ends and means. Conclusively, the study reveals that despite the introduction of the new ends and means for e-government, citizens' attitude for what a government newly does would not change much.",Blogs;Collaboration;Educational institutions;Electronic government;Internet,,T. Nam,"Univ. at Albany, New York, NY, USA",2011 44th Hawaii International Conference on System Sciences,20110222,,,1,10,1530-1605;15301605,Electronic:978-0-7695-4282-9; POD:978-1-4244-9618-1,10.1109/HICSS.2011.316,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5718643,Internet;government data processing,citizen attitude;e-government services;general trust;government 2.0;open government,,5,,44,,,,4-7 Jan. 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
